setting,feature_number,sample_size_per_group,population_mean_structure
p0100_n0050,100,50,projected_null_and_projected_alternative
p0100_n0200,100,200,projected_null_and_projected_alternative
p0100_n0400,100,400,projected_null_and_projected_alternative
p0100_n0600,100,600,projected_null_and_projected_alternative
p0100_n0800,100,800,projected_null_and_projected_alternative
p1000_n0050,1000,50,projected_null_and_projected_alternative
p1000_n0200,1000,200,projected_null_and_projected_alternative
p1000_n0400,1000,400,projected_null_and_projected_alternative
p1000_n0600,1000,600,projected_null_and_projected_alternative
p1000_n0800,1000,800,projected_null_and_projected_alternative
