id,method,setting_id,batch_number
1,debiased_pc,1,1
2,debiased_pc,1,2
3,debiased_pc,1,3
4,debiased_pc,1,4
5,debiased_pc,1,5
6,debiased_pc,1,6
7,debiased_pc,1,7
8,debiased_pc,1,8
9,debiased_pc,1,9
10,debiased_pc,1,10
11,debiased_pc,1,11
12,debiased_pc,1,12
13,debiased_pc,1,13
14,debiased_pc,1,14
15,debiased_pc,1,15
16,debiased_pc,1,16
17,debiased_pc,1,17
18,debiased_pc,1,18
19,debiased_pc,1,19
20,debiased_pc,1,20
21,debiased_pc,1,21
22,debiased_pc,1,22
23,debiased_pc,1,23
24,debiased_pc,1,24
25,debiased_pc,1,25
26,debiased_pc,1,26
27,debiased_pc,1,27
28,debiased_pc,1,28
29,debiased_pc,1,29
30,debiased_pc,1,30
31,debiased_pc,1,31
32,debiased_pc,1,32
33,debiased_pc,1,33
34,debiased_pc,1,34
35,debiased_pc,1,35
36,debiased_pc,1,36
37,debiased_pc,1,37
38,debiased_pc,1,38
39,debiased_pc,1,39
40,debiased_pc,1,40
41,debiased_pc,1,41
42,debiased_pc,1,42
43,debiased_pc,1,43
44,debiased_pc,1,44
45,debiased_pc,1,45
46,debiased_pc,1,46
47,debiased_pc,1,47
48,debiased_pc,1,48
49,debiased_pc,1,49
50,debiased_pc,1,50
51,debiased_pc,1,51
52,debiased_pc,1,52
53,debiased_pc,1,53
54,debiased_pc,1,54
55,debiased_pc,1,55
56,debiased_pc,1,56
57,debiased_pc,1,57
58,debiased_pc,1,58
59,debiased_pc,1,59
60,debiased_pc,1,60
61,debiased_pc,1,61
62,debiased_pc,1,62
63,debiased_pc,1,63
64,debiased_pc,1,64
65,debiased_pc,1,65
66,debiased_pc,1,66
67,debiased_pc,1,67
68,debiased_pc,1,68
69,debiased_pc,1,69
70,debiased_pc,1,70
71,debiased_pc,1,71
72,debiased_pc,1,72
73,debiased_pc,1,73
74,debiased_pc,1,74
75,debiased_pc,1,75
76,debiased_pc,1,76
77,debiased_pc,1,77
78,debiased_pc,1,78
79,debiased_pc,1,79
80,debiased_pc,1,80
81,debiased_pc,1,81
82,debiased_pc,1,82
83,debiased_pc,1,83
84,debiased_pc,1,84
85,debiased_pc,1,85
86,debiased_pc,1,86
87,debiased_pc,1,87
88,debiased_pc,1,88
89,debiased_pc,1,89
90,debiased_pc,1,90
91,debiased_pc,1,91
92,debiased_pc,1,92
93,debiased_pc,1,93
94,debiased_pc,1,94
95,debiased_pc,1,95
96,debiased_pc,1,96
97,debiased_pc,1,97
98,debiased_pc,1,98
99,debiased_pc,1,99
100,debiased_pc,1,100
101,oracle_pc,1,1
102,oracle_pc,1,2
103,oracle_pc,1,3
104,oracle_pc,1,4
105,oracle_pc,1,5
106,oracle_pc,1,6
107,oracle_pc,1,7
108,oracle_pc,1,8
109,oracle_pc,1,9
110,oracle_pc,1,10
111,oracle_pc,1,11
112,oracle_pc,1,12
113,oracle_pc,1,13
114,oracle_pc,1,14
115,oracle_pc,1,15
116,oracle_pc,1,16
117,oracle_pc,1,17
118,oracle_pc,1,18
119,oracle_pc,1,19
120,oracle_pc,1,20
121,oracle_pc,1,21
122,oracle_pc,1,22
123,oracle_pc,1,23
124,oracle_pc,1,24
125,oracle_pc,1,25
126,oracle_pc,1,26
127,oracle_pc,1,27
128,oracle_pc,1,28
129,oracle_pc,1,29
130,oracle_pc,1,30
131,oracle_pc,1,31
132,oracle_pc,1,32
133,oracle_pc,1,33
134,oracle_pc,1,34
135,oracle_pc,1,35
136,oracle_pc,1,36
137,oracle_pc,1,37
138,oracle_pc,1,38
139,oracle_pc,1,39
140,oracle_pc,1,40
141,oracle_pc,1,41
142,oracle_pc,1,42
143,oracle_pc,1,43
144,oracle_pc,1,44
145,oracle_pc,1,45
146,oracle_pc,1,46
147,oracle_pc,1,47
148,oracle_pc,1,48
149,oracle_pc,1,49
150,oracle_pc,1,50
151,oracle_pc,1,51
152,oracle_pc,1,52
153,oracle_pc,1,53
154,oracle_pc,1,54
155,oracle_pc,1,55
156,oracle_pc,1,56
157,oracle_pc,1,57
158,oracle_pc,1,58
159,oracle_pc,1,59
160,oracle_pc,1,60
161,oracle_pc,1,61
162,oracle_pc,1,62
163,oracle_pc,1,63
164,oracle_pc,1,64
165,oracle_pc,1,65
166,oracle_pc,1,66
167,oracle_pc,1,67
168,oracle_pc,1,68
169,oracle_pc,1,69
170,oracle_pc,1,70
171,oracle_pc,1,71
172,oracle_pc,1,72
173,oracle_pc,1,73
174,oracle_pc,1,74
175,oracle_pc,1,75
176,oracle_pc,1,76
177,oracle_pc,1,77
178,oracle_pc,1,78
179,oracle_pc,1,79
180,oracle_pc,1,80
181,oracle_pc,1,81
182,oracle_pc,1,82
183,oracle_pc,1,83
184,oracle_pc,1,84
185,oracle_pc,1,85
186,oracle_pc,1,86
187,oracle_pc,1,87
188,oracle_pc,1,88
189,oracle_pc,1,89
190,oracle_pc,1,90
191,oracle_pc,1,91
192,oracle_pc,1,92
193,oracle_pc,1,93
194,oracle_pc,1,94
195,oracle_pc,1,95
196,oracle_pc,1,96
197,oracle_pc,1,97
198,oracle_pc,1,98
199,oracle_pc,1,99
200,oracle_pc,1,100
201,plug_in_pc,1,1
202,plug_in_pc,1,2
203,plug_in_pc,1,3
204,plug_in_pc,1,4
205,plug_in_pc,1,5
206,plug_in_pc,1,6
207,plug_in_pc,1,7
208,plug_in_pc,1,8
209,plug_in_pc,1,9
210,plug_in_pc,1,10
211,plug_in_pc,1,11
212,plug_in_pc,1,12
213,plug_in_pc,1,13
214,plug_in_pc,1,14
215,plug_in_pc,1,15
216,plug_in_pc,1,16
217,plug_in_pc,1,17
218,plug_in_pc,1,18
219,plug_in_pc,1,19
220,plug_in_pc,1,20
221,plug_in_pc,1,21
222,plug_in_pc,1,22
223,plug_in_pc,1,23
224,plug_in_pc,1,24
225,plug_in_pc,1,25
226,plug_in_pc,1,26
227,plug_in_pc,1,27
228,plug_in_pc,1,28
229,plug_in_pc,1,29
230,plug_in_pc,1,30
231,plug_in_pc,1,31
232,plug_in_pc,1,32
