"gene_name","cluster_index"
"H3F3A",1
"NDUFA4",1
"H3F3B",1
"POMP",1
"MIR155HG",1
"H2AFY",1
"NOP10",1
"CDV3",1
"BZW1",1
"MT-ND6",1
"PNRC1",1
"CYTOR",1
"C9orf16",1
"TWISTNB",1
"ZC3H12C",1
"C4orf48",1
"TARS",1
"RBM17",1
"SRSF5",1
"POLR2J3.1",1
"PSMD4",1
"HMGN3",1
"PNISR",1
"COX20",1
"MRPS6",1
"PSMC1",1
"SQOR",1
"FAM49B",1
"CCDC59",1
"MRPL33",1
"CTGF",1
"RSRC2",1
"FAM96B",1
"KRR1",1
"PET100",1
"EFHD2",1
"MPC1",1
"SRSF11",1
"DDX24",1
"WARS",1
"UBE2F",1
"ANKRD12",1
"ANKRD33B",1
"TXNL1",1
"ETHE1",1
"ZFR",1
"FAM129A",1
"PPIC",1
"TMEM158",1
"TEX9",1
"EIF1B",1
"WSB1",1
"AES",1
"FAM133B",1
"PAPOLA",1
"SNHG9",1
"MMADHC",1
"SEPT2",1
"MAP3K7CL",1
"AC245297.3",1
"DNTTIP2",1
"C1orf122",1
"RNF181",1
"SNHG25",1
"TMEM184C",1
"CD37",1
"NPDC1",1
"PLXDC2",1
"PSMC4",1
"SEPT11",1
"AMD1",1
"SMCO4",1
"AC008105.3",1
"RSRP1",1
"ZFAND3",1
"PNRC2",1
"SUSD6",1
"WDR26",1
"POLE4",1
"CHCHD7",1
"AC079466.1",1
"PRPF4B",1
"SCNM1",1
"FAAP20",1
"DDX52",1
"TIMMDC1",1
"TM2D2",1
"METTL9",1
"CPD",1
"MIR4435-2HG",1
"EPB41L4A-AS1",1
"TROVE2",1
"H1FX",1
"FAM177A1",1
"BTG3",1
"SLFN5",1
"SPATS2L",1
"AL035446.1",1
"POLR1D",1
"DDA1",1
"GARS",1
"C3orf80",1
"RBMS1",1
"GPATCH2L",1
"H2AFJ",1
"SNRPN",1
"C11orf96",1
"C16orf72",1
"C1orf54",1
"THAP2",1
"ELOA",1
"CD63",2
"PPT1",2
"HLA-A",2
"HLA-B",2
